varKey	term	system	media	where	example	note	source	delete?
account_phone	Account / Phone / Agreement	iVUE	base	iVUE account header — the working/billing number on the service order. Format is the 10-digit account string. 101, 125 = INT, 559 = Telephone	101 822 **** IN	Trailing IN / OUT / QDS marks the direction of the order (IN = connect, OUT = disconnect).	value_location	
mgcp_name	Line Pack — MGCP name	LinePacks	both	LinePacks → the MGCP / endpoint name field. This is the full provisioning string for the voice port.	FRNT-PRSV_GPON-CLX01-01-04-1421-01	Reads as: office (FRNT) – cabinet/tech (PRSV_GPON) – shelf CLX01 – slot 01 – port 04 – etc.	value_location	
GR303	Line Pack - CRV Number	LinePackss	both	LinePacks → the GR303 / endpoint name field. This is the full provisioning string for the voice port.	FRNT-0306-1994	Taqua provisioning for voice agreements	value_location	
linepack_equip	Line Pack — Equipment	LinePacks	both	LinePacks → Equipment, second column. The cabinet + card/slot/port identifier.	PRSV_GPON 01-01-04	Second column on the equipment row — not the first.	value_location	
splitter_port	Line Pack — Splitter Port	LinePacks / Splitter	fiber	LinePacks → Splitter view. Identifies the PON splitter shelf and port the customer rides.	PRSV — S4, P21	S = splitter number, P = port number on that splitter.	value_location	
cable_name	Cable Name	iVUE	base	iVUE → cable/pair record. The distribution cable + count/pair the service runs on.	PRSV, 44	Cable identifier followed by the pair/fiber count.	value_location	
mst_ped	MST / Pedestal	Fiberbook / As-Built	base	Fiberbook (or the as-built drawing) → MST and pedestal call-outs for the address.	MST 2 / PED — (from as-built)	Cross-check the as-built against Fiberbook when they disagree.	value_location	
ivue_equip_id	iVUE Equip ID	iVUE	base	iVUE → Pedistal the home is fed from.	AH1624-1		value_location	
fsan	Parent Equipment — Internet line item / ONT SN	iVUE	fiber	iVUE → parent equipment under the Internet line item → ONT serial / FSAN field.	FSAN: **PENDING**	Often blank until the ONT is registered — Warehouse or Diana in Customer Care will assign the ONT / Modem providing the serial number required for this field.	value_location	
so_number	SO Number	iVUE	base	iVUE → service order header; the SO# (a related/grouped order may list several).	142965	Multiple SO#s can appear when orders are bundled.	suggestion	
