Facility Restriction						
Company			Internet Offerings	 C&C Cost 	C&C Code	C&C Description	Note	Lookup Name	Res / Bus		Facility Service	Description	Internal Service Type	Speed Tier ID	Upload Speed	Download Speed	Technology
Ponderosa	** Can have only 1 of these groups as long as  the address does not already qualify for 25/3 or 100/20 **	** Can have 1 **	Internet Up To 12Mbps / 1Mbps	 55.00 	D000000	Internet Up To 12Mbps / 1Mbps		1.5/.384 ADSL2	Res	No Resale	D000	1.5/.384 ADSL2	Internet	1 - 1 Mbps Download x 256 Kbps Upload	0.38	1.5	Copper Wire
					D000001	Internet Up To 12Mbps / 1Mbps		3/.768 ADSL2	Res	No Resale	D001	3/.768 ADSL2	Internet	1 - 1 Mbps Download x 256 Kbps Upload	0.77	3	Copper Wire
					D000002	Internet Up To 12Mbps / 1Mbps		3/.768 ADSL2 B	Res	No Resale	D002	3/.768 ADSL2 BOND	Internet	1 - 1 Mbps Download x 256 Kbps Upload	0.77	3	Copper Wire
					D000003	Internet Up To 12Mbps / 1Mbps		6/.768 ADSL2	Res	No Resale	D003	6/.768 ADSL2	Internet	2 - 4 Mbps Download x 1 Mbps Upload	0.77	6	Copper Wire
					D000004	Internet Up To 12Mbps / 1Mbps		6/.768 ADSL2 B	Res	No Resale	D004	6/.768 ADSL2 BOND	Internet	2 - 4 Mbps Download x 1 Mbps Upload	0.77	6	Copper Wire
					D000005	Internet Up To 12Mbps / 1Mbps		6/1 ADSL2	Res	No Resale	D005	6/1 ADSL2	Internet	2 - 4 Mbps Download x 1 Mbps Upload	1	6	Copper Wire
					D000006	Internet Up To 12Mbps / 1Mbps		6/1 ADSL2 B	Res	No Resale	D006	6/1 ADSL2 BOND	Internet	2 - 4 Mbps Download x 1 Mbps Upload	1	6	Copper Wire
					D000007	Internet Up To 12Mbps / 1Mbps		6/1.5 ADSL2	Res	No Resale	D007	6/1.5 ADSL2	Internet	2 - 4 Mbps Download x 1 Mbps Upload	1.5	6	Copper Wire
					D000008	Internet Up To 12Mbps / 1Mbps		6/1.5 ADSL2 B	Res	No Resale	D008	6/1.5 ADSL2 BOND	Internet	2 - 4 Mbps Download x 1 Mbps Upload	1.5	6	Copper Wire
					D000009	Internet Up To 12Mbps / 1Mbps		10/.768 ADSL2	Res	No Resale	D009	10/.768 ADSL2	Internet	2 - 4 Mbps Download x 1 Mbps Upload	0.77	10	Copper Wire
					D000010	Internet Up To 12Mbps / 1Mbps		10/.768 ADSL2 B	Res	No Resale	D010	10/.768 ADSL2 BOND	Internet	2 - 4 Mbps Download x 1 Mbps Upload	0.77	10	Copper Wire
					D000011	Internet Up To 12Mbps / 1Mbps		12/1 ADSL2	Res	No Resale	D011	12/1 ADSL2	Internet	3 - 10 Mbps Download x 1 Mbps Upload	1	12	Copper Wire
					D000012	Internet Up To 12Mbps / 1Mbps		12/1 ADSL2 B	Res	No Resale	D012	12/1 ADSL2 BOND	Internet	3 - 10 Mbps Download x 1 Mbps Upload	1	12	Copper Wire
Ponderosa		** Can have 1 **	Internet Up To 18Mbps / 3Mbps	 60.00 	D000013	Internet Up To 18Mbps / 3Mbps		12/1.5 ADSL2	Res	No Resale	D013	12/1.5 ADSL2	Internet	3 - 10 Mbps Download x 1 Mbps Upload	1.5	12	Copper Wire
					D000014	Internet Up To 18Mbps / 3Mbps		12/1.5 ADSL2 B	Res	No Resale	D014	12/1.5 ADSL2 BOND	Internet	3 - 10 Mbps Download x 1 Mbps Upload	1.5	12	Copper Wire
					D000015	Internet Up To 18Mbps / 3Mbps		15/3 ADSL2 B	Res	No Resale	D015	15/3 ADSL2 BOND	Internet	3 - 10 Mbps Download x 1 Mbps Upload	3	15	Copper Wire
					D000016	Internet Up To 18Mbps / 3Mbps		15/3 VDSL2	Res	No Resale	D016	15/3 VDSL2	Internet	3 - 10 Mbps Download x 1 Mbps Upload	3	15	Copper Wire
					D000017	Internet Up To 18Mbps / 3Mbps		18/3 ADSL2 B	Res	No Resale	D017	18/3 ADSL2 BOND	Internet	3 - 10 Mbps Download x 1 Mbps Upload	3	18	Copper Wire
					D000018	Internet Up To 18Mbps / 3Mbps		18/3 VDSL2	Res	No Resale	D018	18/3 VDSL2	Internet	3 - 10 Mbps Download x 1 Mbps Upload	3	18	Copper Wire
Ponderosa	** Can have 1 of each group **	** Can have 1 **	Internet Up To 25Mbps / 3Mbps	 65.00 	D000019	Internet Up To 25Mbps / 3Mbps		18/5 VDSL2	Res	No Resale	D019	18/5 VDSL2	Internet	3 - 10 Mbps Download x 1 Mbps Upload	5	18	Copper Wire
					D000020	Internet Up To 25Mbps / 3Mbps		18/5 VDSL2 B	Res	No Resale	D020	18/5 VDSL2 BOND	Internet	3 - 10 Mbps Download x 1 Mbps Upload	5	18	Copper Wire
					D000021	Internet Up To 25Mbps / 3Mbps		25/3 ADSL2 B	Res	No Resale	D021	25/3 ADSL2 BOND	Internet	4 - 25 Mbps Download x 3 Mbps Upload	3	25	Copper Wire
					D000022	Internet Up To 25Mbps / 3Mbps		25/3 VDSL2	Res	No Resale	D022	25/3 VDSL2	Internet	4 - 25 Mbps Download x 3 Mbps Upload	3	25	Copper Wire
					D000023	Internet Up To 25Mbps / 3Mbps		25/3 VDSL2 B	Res	No Resale	D023	25/3 VDSL2 BOND	Internet	4 - 25 Mbps Download x 3 Mbps Upload	3	25	Copper Wire
Ponderosa		** Can have 1 **	Internet Up To 100Mbps / 20Mbps	 80.00 	D000024	Internet Up To 100Mbps / 20Mbps		25/5 VDSL2	Res	No Resale	D024	25/5 VDSL2	Internet	5 - 25 Mbps Download x 5 Mbps Upload	5	25	Copper Wire
					D000025	Internet Up To 100Mbps / 20Mbps		25/5 VDSL2 B	Res	No Resale	D025	25/5 VDSL2 BOND	Internet	5 - 25 Mbps Download x 5 Mbps Upload	5	25	Copper Wire
					D000026	Internet Up To 100Mbps / 20Mbps		35/5 VDSL2	Res	No Resale	D026	35/5 VDSL2	Internet	5 - 25 Mbps Download x 5 Mbps Upload	5	35	Copper Wire
					D000027	Internet Up To 100Mbps / 20Mbps		35/5 VDSL2 B	Res	No Resale	D027	35/5 VDSL2 BOND	Internet	5 - 25 Mbps Download x 5 Mbps Upload	5	35	Copper Wire
